D_EPD_SITUACPROFES_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;D_EPD_RELACTIVIDAD_0;INDICATOR;OBS_VALUE;FREQ
5939;2020;5732;3143;5865;Población;532357.30116;A
5939;2020;5733;3143;5865;Población;19324.53873;A
5939;2019;5732;3143;5865;Población;550187.9621499999;A
5939;2019;5733;3143;5865;Población;18338.69083;A
5939;2018;5732;3143;5865;Población;558996.02393;A
5939;2018;5733;3143;5865;Población;15652.511410000001;A
5939;2017;5732;3143;5865;Población;538986.34698;A
5939;2017;5733;3143;5865;Población;15070.38135;A
5939;2016;5732;3143;5865;Población;525011.40223;A
5939;2016;5733;3143;5865;Población;17139.65176;A
5939;2015;5732;3143;5865;Población;536955.68044;A
5939;2015;5733;3143;5865;Población;16200.0255;A
5939;2014;5732;3143;5865;Población;498740.93649000005;A
5939;2014;5733;3143;5865;Población;15006.16208;A
5941;2020;5732;3143;5865;Población;1852644.3464300002;A
5941;2020;5733;3143;5865;Población;48074.32505;A
5941;2019;5732;3143;5865;Población;1944568.84187;A
5941;2019;5733;3143;5865;Población;51771.06301;A
5941;2018;5732;3143;5865;Población;1875619.57635;A
5941;2018;5733;3143;5865;Población;50669.70779;A
5941;2017;5732;3143;5865;Población;1806121.9556399998;A
5941;2017;5733;3143;5865;Población;51343.73922;A
5941;2016;5732;3143;5865;Población;1721883.57559;A
5941;2016;5733;3143;5865;Población;44251.03347;A
5941;2015;5732;3143;5865;Población;1659486.676;A
5941;2015;5733;3143;5865;Población;43761.459449999995;A
5941;2014;5732;3143;5865;Población;1581369.02988;A
5941;2014;5733;3143;5865;Población;33050.21383;A
5946;2020;5732;3143;5865;Población;524500.96097;A
5946;2020;5733;3143;5865;Población;9372.41031;A
5946;2019;5732;3143;5865;Población;516341.35933000006;A
5946;2019;5733;3143;5865;Población;11289.23588;A
5946;2018;5732;3143;5865;Población;497415.70339;A
5946;2018;5733;3143;5865;Población;9540.232059999998;A
5946;2017;5732;3143;5865;Población;503641.86074000003;A
5946;2017;5733;3143;5865;Población;8535.284259999999;A
5946;2016;5732;3143;5865;Población;494786.52744;A
5946;2016;5733;3143;5865;Población;9323.22303;A
5946;2015;5732;3143;5865;Población;482925.75991;A
5946;2015;5733;3143;5865;Población;7180.66364;A
5946;2014;5732;3143;5865;Población;480032.62211999996;A
5946;2014;5733;3143;5865;Población;6775.18487;A
5948;2020;5732;3143;5865;Población;2909502.60856;A
5948;2020;5733;3143;5865;Población;76771.27409;A
5948;2019;5732;3143;5865;Población;3011098.16335;A
5948;2019;5733;3143;5865;Población;81398.98972;A
5948;2018;5732;3143;5865;Población;2932031.30367;A
5948;2018;5733;3143;5865;Población;75862.45126;A
5948;2017;5732;3143;5865;Población;2848750.16336;A
5948;2017;5733;3143;5865;Población;74949.40483;A
5948;2016;5732;3143;5865;Población;2741681.50526;A
5948;2016;5733;3143;5865;Población;70713.90826;A
5948;2015;5732;3143;5865;Población;2679368.1163500003;A
5948;2015;5733;3143;5865;Población;67142.14859000001;A
5948;2014;5732;3143;5865;Población;2560142.58849;A
5948;2014;5733;3143;5865;Población;54831.56078;A
5939;2020;5732;3143;5865;Porcentaje;18.297192777685105;A
5939;2020;5733;3143;5865;Porcentaje;25.17157486190158;A
5939;2019;5732;3143;5865;Porcentaje;18.272003511764886;A
5939;2019;5733;3143;5865;Porcentaje;22.529383832750597;A
5939;2018;5732;3143;5865;Porcentaje;19.06514515142827;A
5939;2018;5733;3143;5865;Porcentaje;20.63275197416815;A
5939;2017;5732;3143;5865;Porcentaje;18.920098852904836;A
5939;2017;5733;3143;5865;Porcentaje;20.107406301868025;A
5939;2016;5732;3143;5865;Porcentaje;19.149248416446245;A
5939;2016;5733;3143;5865;Porcentaje;24.23802075396702;A
5939;2015;5732;3143;5865;Porcentaje;20.040384789361234;A
5939;2015;5733;3143;5865;Porcentaje;24.12795217341733;A
5939;2014;5732;3143;5865;Porcentaje;19.480982767610726;A
5939;2014;5733;3143;5865;Porcentaje;27.367745631405683;A
5941;2020;5732;3143;5865;Porcentaje;63.67563792448115;A
5941;2020;5733;3143;5865;Porcentaje;62.62019957313958;A
5941;2019;5732;3143;5865;Porcentaje;64.58005473015095;A
5941;2019;5733;3143;5865;Porcentaje;63.601603887326476;A
5941;2018;5732;3143;5865;Porcentaje;63.9699710573452;A
5941;2018;5733;3143;5865;Porcentaje;66.79155095627212;A
5941;2017;5732;3143;5865;Porcentaje;63.40050380233214;A
5941;2017;5733;3143;5865;Porcentaje;68.50453227274814;A
5941;2016;5732;3143;5865;Porcentaje;62.80392424453801;A
5941;2016;5733;3143;5865;Porcentaje;62.57755307102863;A
5941;2015;5732;3143;5865;Porcentaje;61.93574768145912;A
5941;2015;5733;3143;5865;Porcentaje;65.17732954485422;A
5941;2014;5732;3143;5865;Porcentaje;61.768787292926085;A
5941;2014;5733;3143;5865;Porcentaje;60.27589468519229;A
5946;2020;5732;3143;5865;Porcentaje;18.027169297833737;A
5946;2020;5733;3143;5865;Porcentaje;12.208225564958836;A
5946;2019;5732;3143;5865;Porcentaje;17.14794175808417;A
5946;2019;5733;3143;5865;Porcentaje;13.869012279922924;A
5946;2018;5732;3143;5865;Porcentaje;16.964883791226537;A
5946;2018;5733;3143;5865;Porcentaje;12.57569706955973;A
5946;2017;5732;3143;5865;Porcentaje;17.67939734476302;A
5946;2017;5733;3143;5865;Porcentaje;11.388061425383835;A
5946;2016;5732;3143;5865;Porcentaje;18.046827339015742;A
5946;2016;5733;3143;5865;Porcentaje;13.184426175004345;A
5946;2015;5732;3143;5865;Porcentaje;18.023867529179647;A
5946;2015;5733;3143;5865;Porcentaje;10.694718281728433;A
5946;2014;5732;3143;5865;Porcentaje;18.750229939463196;A
5946;2014;5733;3143;5865;Porcentaje;12.356359683402033;A
5948;2020;5732;3143;5865;Porcentaje;100.0;A
5948;2020;5733;3143;5865;Porcentaje;100.0;A
5948;2019;5732;3143;5865;Porcentaje;100.0;A
5948;2019;5733;3143;5865;Porcentaje;100.0;A
5948;2018;5732;3143;5865;Porcentaje;100.0;A
5948;2018;5733;3143;5865;Porcentaje;100.0;A
5948;2017;5732;3143;5865;Porcentaje;100.0;A
5948;2017;5733;3143;5865;Porcentaje;100.0;A
5948;2016;5732;3143;5865;Porcentaje;100.0;A
5948;2016;5733;3143;5865;Porcentaje;100.0;A
5948;2015;5732;3143;5865;Porcentaje;100.0;A
5948;2015;5733;3143;5865;Porcentaje;100.0;A
5948;2014;5732;3143;5865;Porcentaje;100.0;A
5948;2014;5733;3143;5865;Porcentaje;100.0;A
