D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOPRESTACION_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;55174;2352;Población;20225.0;A
2006;3689;55174;2402;Población;46250.0;A
2006;3689;55174;2482;Población;23175.0;A
2006;3689;55174;2713;Población;24000.0;A
2006;3689;55174;2797;Población;20850.0;A
2006;3689;55174;2911;Población;20100.0;A
2006;3689;55174;3023;Población;48425.0;A
2006;3689;55174;3142;Población;57775.0;A
2006;3689;55174;3143;Población;260800.0;A
2006;3689;55175;2352;Población;7925.0;A
2006;3689;55175;2402;Población;23525.0;A
2006;3689;55175;2482;Población;21425.0;A
2006;3689;55175;2713;Población;17650.0;A
2006;3689;55175;2797;Población;11125.0;A
2006;3689;55175;2911;Población;18700.0;A
2006;3689;55175;3023;Población;17375.0;A
2006;3689;55175;3142;Población;41800.0;A
2006;3689;55175;3143;Población;159525.0;A
2006;3689;55176;2352;Población;1150.0;A
2006;3689;55176;2402;Población;4700.0;A
2006;3689;55176;2482;Población;2400.0;A
2006;3689;55176;2713;Población;2225.0;A
2006;3689;55176;2797;Población;1400.0;A
2006;3689;55176;2911;Población;1800.0;A
2006;3689;55176;3023;Población;3275.0;A
2006;3689;55176;3142;Población;5025.0;A
2006;3689;55176;3143;Población;21975.0;A
2006;3689;55173;2352;Población;226050.0;A
2006;3689;55173;2402;Población;399550.0;A
2006;3689;55173;2482;Población;277350.0;A
2006;3689;55173;2713;Población;307625.0;A
2006;3689;55173;2797;Población;180750.0;A
2006;3689;55173;2911;Población;237175.0;A
2006;3689;55173;3023;Población;501900.0;A
2006;3689;55173;3142;Población;639825.0;A
2006;3689;55173;3143;Población;2770225.0;A
2006;3690;55174;2352;Población;16875.0;A
2006;3690;55174;2402;Población;23425.0;A
2006;3690;55174;2482;Población;13450.0;A
2006;3690;55174;2713;Población;15125.0;A
2006;3690;55174;2797;Población;10175.0;A
2006;3690;55174;2911;Población;10400.0;A
2006;3690;55174;3023;Población;34050.0;A
2006;3690;55174;3142;Población;34250.0;A
2006;3690;55174;3143;Población;157750.0;A
2006;3690;55175;2352;Población;14050.0;A
2006;3690;55175;2402;Población;27800.0;A
2006;3690;55175;2482;Población;36100.0;A
2006;3690;55175;2713;Población;30625.0;A
2006;3690;55175;2797;Población;20425.0;A
2006;3690;55175;2911;Población;28625.0;A
2006;3690;55175;3023;Población;25300.0;A
2006;3690;55175;3142;Población;66125.0;A
2006;3690;55175;3143;Población;249050.0;A
2006;3690;55176;2352;Población;1775.0;A
2006;3690;55176;2402;Población;3250.0;A
2006;3690;55176;2482;Población;2200.0;A
2006;3690;55176;2713;Población;1825.0;A
2006;3690;55176;2797;Población;1825.0;A
2006;3690;55176;2911;Población;1425.0;A
2006;3690;55176;3023;Población;3400.0;A
2006;3690;55176;3142;Población;5075.0;A
2006;3690;55176;3143;Población;20775.0;A
2006;3690;55173;2352;Población;164675.0;A
2006;3690;55173;2402;Población;274050.0;A
2006;3690;55173;2482;Población;221950.0;A
2006;3690;55173;2713;Población;248875.0;A
2006;3690;55173;2797;Población;159925.0;A
2006;3690;55173;2911;Población;174275.0;A
2006;3690;55173;3023;Población;390875.0;A
2006;3690;55173;3142;Población;508275.0;A
2006;3690;55173;3143;Población;2142900.0;A
2006;3691;55174;2352;Población;37100.0;A
2006;3691;55174;2402;Población;69675.0;A
2006;3691;55174;2482;Población;36625.0;A
2006;3691;55174;2713;Población;39125.0;A
2006;3691;55174;2797;Población;31025.0;A
2006;3691;55174;2911;Población;30500.0;A
2006;3691;55174;3023;Población;82475.0;A
2006;3691;55174;3142;Población;92025.0;A
2006;3691;55174;3143;Población;418550.0;A
2006;3691;55175;2352;Población;21975.0;A
2006;3691;55175;2402;Población;51325.0;A
2006;3691;55175;2482;Población;57525.0;A
2006;3691;55175;2713;Población;48275.0;A
2006;3691;55175;2797;Población;31550.0;A
2006;3691;55175;2911;Población;47325.0;A
2006;3691;55175;3023;Población;42675.0;A
2006;3691;55175;3142;Población;107925.0;A
2006;3691;55175;3143;Población;408575.0;A
2006;3691;55176;2352;Población;2925.0;A
2006;3691;55176;2402;Población;7950.0;A
2006;3691;55176;2482;Población;4600.0;A
2006;3691;55176;2713;Población;4050.0;A
2006;3691;55176;2797;Población;3225.0;A
2006;3691;55176;2911;Población;3225.0;A
2006;3691;55176;3023;Población;6675.0;A
2006;3691;55176;3142;Población;10100.0;A
2006;3691;55176;3143;Población;42750.0;A
2006;3691;55173;2352;Población;390725.0;A
2006;3691;55173;2402;Población;673600.0;A
2006;3691;55173;2482;Población;499300.0;A
2006;3691;55173;2713;Población;556500.0;A
2006;3691;55173;2797;Población;340675.0;A
2006;3691;55173;2911;Población;411450.0;A
2006;3691;55173;3023;Población;892775.0;A
2006;3691;55173;3142;Población;1148100.0;A
2006;3691;55173;3143;Población;4913125.0;A
2007;3689;55174;2352;Población;25825.0;A
2007;3689;55174;2402;Población;52575.0;A
2007;3689;55174;2482;Población;26025.0;A
2007;3689;55174;2713;Población;28375.0;A
2007;3689;55174;2797;Población;24250.0;A
2007;3689;55174;2911;Población;21025.0;A
2007;3689;55174;3023;Población;55575.0;A
2007;3689;55174;3142;Población;63175.0;A
2007;3689;55174;3143;Población;296825.0;A
2007;3689;55175;2352;Población;7800.0;A
2007;3689;55175;2402;Población;22125.0;A
2007;3689;55175;2482;Población;20400.0;A
2007;3689;55175;2713;Población;17850.0;A
2007;3689;55175;2797;Población;10325.0;A
2007;3689;55175;2911;Población;19025.0;A
2007;3689;55175;3023;Población;17775.0;A
2007;3689;55175;3142;Población;39625.0;A
2007;3689;55175;3143;Población;154925.0;A
2007;3689;55176;2352;Población;1325.0;A
2007;3689;55176;2402;Población;4975.0;A
2007;3689;55176;2482;Población;2600.0;A
2007;3689;55176;2713;Población;1950.0;A
2007;3689;55176;2797;Población;1375.0;A
2007;3689;55176;2911;Población;1650.0;A
2007;3689;55176;3023;Población;3500.0;A
2007;3689;55176;3142;Población;5200.0;A
2007;3689;55176;3143;Población;22575.0;A
2007;3689;55173;2352;Población;230650.0;A
2007;3689;55173;2402;Población;408300.0;A
2007;3689;55173;2482;Población;282150.0;A
2007;3689;55173;2713;Población;313925.0;A
2007;3689;55173;2797;Población;185150.0;A
2007;3689;55173;2911;Población;240475.0;A
2007;3689;55173;3023;Población;511850.0;A
2007;3689;55173;3142;Población;650575.0;A
2007;3689;55173;3143;Población;2823075.0;A
2007;3690;55174;2352;Población;19125.0;A
2007;3690;55174;2402;Población;26075.0;A
2007;3690;55174;2482;Población;14550.0;A
2007;3690;55174;2713;Población;18475.0;A
2007;3690;55174;2797;Población;11750.0;A
2007;3690;55174;2911;Población;10375.0;A
2007;3690;55174;3023;Población;37825.0;A
2007;3690;55174;3142;Población;39200.0;A
2007;3690;55174;3143;Población;177375.0;A
2007;3690;55175;2352;Población;14525.0;A
2007;3690;55175;2402;Población;34600.0;A
2007;3690;55175;2482;Población;38800.0;A
2007;3690;55175;2713;Población;30750.0;A
2007;3690;55175;2797;Población;21550.0;A
2007;3690;55175;2911;Población;31025.0;A
2007;3690;55175;3023;Población;29075.0;A
2007;3690;55175;3142;Población;72875.0;A
2007;3690;55175;3143;Población;273200.0;A
2007;3690;55176;2352;Población;1550.0;A
2007;3690;55176;2402;Población;4075.0;A
2007;3690;55176;2482;Población;1900.0;A
2007;3690;55176;2713;Población;2250.0;A
2007;3690;55176;2797;Población;2000.0;A
2007;3690;55176;2911;Población;1275.0;A
2007;3690;55176;3023;Población;4000.0;A
2007;3690;55176;3142;Población;5175.0;A
2007;3690;55176;3143;Población;22225.0;A
2007;3690;55173;2352;Población;173475.0;A
2007;3690;55173;2402;Población;292650.0;A
2007;3690;55173;2482;Población;230400.0;A
2007;3690;55173;2713;Población;259125.0;A
2007;3690;55173;2797;Población;163800.0;A
2007;3690;55173;2911;Población;182100.0;A
2007;3690;55173;3023;Población;407325.0;A
2007;3690;55173;3142;Población;535675.0;A
2007;3690;55173;3143;Población;2244550.0;A
2007;3691;55174;2352;Población;44950.0;A
2007;3691;55174;2402;Población;78650.0;A
2007;3691;55174;2482;Población;40575.0;A
2007;3691;55174;2713;Población;46850.0;A
2007;3691;55174;2797;Población;36000.0;A
2007;3691;55174;2911;Población;31400.0;A
2007;3691;55174;3023;Población;93400.0;A
2007;3691;55174;3142;Población;102375.0;A
2007;3691;55174;3143;Población;474200.0;A
2007;3691;55175;2352;Población;22325.0;A
2007;3691;55175;2402;Población;56725.0;A
2007;3691;55175;2482;Población;59200.0;A
2007;3691;55175;2713;Población;48600.0;A
2007;3691;55175;2797;Población;31875.0;A
2007;3691;55175;2911;Población;50050.0;A
2007;3691;55175;3023;Población;46850.0;A
2007;3691;55175;3142;Población;112500.0;A
2007;3691;55175;3143;Población;428125.0;A
2007;3691;55176;2352;Población;2875.0;A
2007;3691;55176;2402;Población;9050.0;A
2007;3691;55176;2482;Población;4500.0;A
2007;3691;55176;2713;Población;4200.0;A
2007;3691;55176;2797;Población;3375.0;A
2007;3691;55176;2911;Población;2925.0;A
2007;3691;55176;3023;Población;7500.0;A
2007;3691;55176;3142;Población;10375.0;A
2007;3691;55176;3143;Población;44800.0;A
2007;3691;55173;2352;Población;404125.0;A
2007;3691;55173;2402;Población;700950.0;A
2007;3691;55173;2482;Población;512550.0;A
2007;3691;55173;2713;Población;573050.0;A
2007;3691;55173;2797;Población;348950.0;A
2007;3691;55173;2911;Población;422575.0;A
2007;3691;55173;3023;Población;919175.0;A
2007;3691;55173;3142;Población;1186250.0;A
2007;3691;55173;3143;Población;5067625.0;A
2008;3689;55174;2352;Población;38850.0;A
2008;3689;55174;2402;Población;68550.0;A
2008;3689;55174;2482;Población;36400.0;A
2008;3689;55174;2713;Población;41525.0;A
2008;3689;55174;2797;Población;30475.0;A
2008;3689;55174;2911;Población;29675.0;A
2008;3689;55174;3023;Población;79600.0;A
2008;3689;55174;3142;Población;94275.0;A
2008;3689;55174;3143;Población;419350.0;A
2008;3689;55175;2352;Población;9250.0;A
2008;3689;55175;2402;Población;25775.0;A
2008;3689;55175;2482;Población;21175.0;A
2008;3689;55175;2713;Población;18950.0;A
2008;3689;55175;2797;Población;10100.0;A
2008;3689;55175;2911;Población;18675.0;A
2008;3689;55175;3023;Población;20675.0;A
2008;3689;55175;3142;Población;40575.0;A
2008;3689;55175;3143;Población;165175.0;A
2008;3689;55176;2352;Población;2900.0;A
2008;3689;55176;2402;Población;8600.0;A
2008;3689;55176;2482;Población;4300.0;A
2008;3689;55176;2713;Población;3950.0;A
2008;3689;55176;2797;Población;3200.0;A
2008;3689;55176;2911;Población;2900.0;A
2008;3689;55176;3023;Población;6475.0;A
2008;3689;55176;3142;Población;9675.0;A
2008;3689;55176;3143;Población;42000.0;A
2008;3689;55173;2352;Población;229700.0;A
2008;3689;55173;2402;Población;404575.0;A
2008;3689;55173;2482;Población;282300.0;A
2008;3689;55173;2713;Población;311175.0;A
2008;3689;55173;2797;Población;184825.0;A
2008;3689;55173;2911;Población;240025.0;A
2008;3689;55173;3023;Población;506975.0;A
2008;3689;55173;3142;Población;651450.0;A
2008;3689;55173;3143;Población;2811025.0;A
2008;3690;55174;2352;Población;22175.0;A
2008;3690;55174;2402;Población;28975.0;A
2008;3690;55174;2482;Población;15875.0;A
2008;3690;55174;2713;Población;22100.0;A
2008;3690;55174;2797;Población;15450.0;A
2008;3690;55174;2911;Población;11225.0;A
2008;3690;55174;3023;Población;43925.0;A
2008;3690;55174;3142;Población;46650.0;A
2008;3690;55174;3143;Población;206375.0;A
2008;3690;55175;2352;Población;15825.0;A
2008;3690;55175;2402;Población;42950.0;A
2008;3690;55175;2482;Población;41275.0;A
2008;3690;55175;2713;Población;33150.0;A
2008;3690;55175;2797;Población;21925.0;A
2008;3690;55175;2911;Población;32475.0;A
2008;3690;55175;3023;Población;32900.0;A
2008;3690;55175;3142;Población;77775.0;A
2008;3690;55175;3143;Población;298275.0;A
2008;3690;55176;2352;Población;2750.0;A
2008;3690;55176;2402;Población;4525.0;A
2008;3690;55176;2482;Población;2825.0;A
2008;3690;55176;2713;Población;2825.0;A
2008;3690;55176;2797;Población;2275.0;A
2008;3690;55176;2911;Población;2000.0;A
2008;3690;55176;3023;Población;6000.0;A
2008;3690;55176;3142;Población;7425.0;A
2008;3690;55176;3143;Población;30625.0;A
2008;3690;55173;2352;Población;180225.0;A
2008;3690;55173;2402;Población;305625.0;A
2008;3690;55173;2482;Población;235725.0;A
2008;3690;55173;2713;Población;262125.0;A
2008;3690;55173;2797;Población;173400.0;A
2008;3690;55173;2911;Población;186400.0;A
2008;3690;55173;3023;Población;415400.0;A
2008;3690;55173;3142;Población;550625.0;A
2008;3690;55173;3143;Población;2309525.0;A
2008;3691;55174;2352;Población;61025.0;A
2008;3691;55174;2402;Población;97525.0;A
2008;3691;55174;2482;Población;52275.0;A
2008;3691;55174;2713;Población;63625.0;A
2008;3691;55174;2797;Población;45925.0;A
2008;3691;55174;2911;Población;40900.0;A
2008;3691;55174;3023;Población;123525.0;A
2008;3691;55174;3142;Población;140925.0;A
2008;3691;55174;3143;Población;625725.0;A
2008;3691;55175;2352;Población;25075.0;A
2008;3691;55175;2402;Población;68725.0;A
2008;3691;55175;2482;Población;62450.0;A
2008;3691;55175;2713;Población;52100.0;A
2008;3691;55175;2797;Población;32025.0;A
2008;3691;55175;2911;Población;51150.0;A
2008;3691;55175;3023;Población;53575.0;A
2008;3691;55175;3142;Población;118350.0;A
2008;3691;55175;3143;Población;463450.0;A
2008;3691;55176;2352;Población;5650.0;A
2008;3691;55176;2402;Población;13125.0;A
2008;3691;55176;2482;Población;7125.0;A
2008;3691;55176;2713;Población;6775.0;A
2008;3691;55176;2797;Población;5475.0;A
2008;3691;55176;2911;Población;4900.0;A
2008;3691;55176;3023;Población;12475.0;A
2008;3691;55176;3142;Población;17100.0;A
2008;3691;55176;3143;Población;72625.0;A
2008;3691;55173;2352;Población;409925.0;A
2008;3691;55173;2402;Población;710200.0;A
2008;3691;55173;2482;Población;518025.0;A
2008;3691;55173;2713;Población;573300.0;A
2008;3691;55173;2797;Población;358225.0;A
2008;3691;55173;2911;Población;426425.0;A
2008;3691;55173;3023;Población;922375.0;A
2008;3691;55173;3142;Población;1202075.0;A
2008;3691;55173;3143;Población;5120550.0;A
2009;3689;55174;2352;Población;37900.0;A
2009;3689;55174;2402;Población;62050.0;A
2009;3689;55174;2482;Población;35350.0;A
2009;3689;55174;2713;Población;40650.0;A
2009;3689;55174;2797;Población;30775.0;A
2009;3689;55174;2911;Población;32325.0;A
2009;3689;55174;3023;Población;77450.0;A
2009;3689;55174;3142;Población;94525.0;A
2009;3689;55174;3143;Población;411025.0;A
2009;3689;55175;2352;Población;12650.0;A
2009;3689;55175;2402;Población;33575.0;A
2009;3689;55175;2482;Población;25450.0;A
2009;3689;55175;2713;Población;23650.0;A
2009;3689;55175;2797;Población;13250.0;A
2009;3689;55175;2911;Población;21100.0;A
2009;3689;55175;3023;Población;29400.0;A
2009;3689;55175;3142;Población;49225.0;A
2009;3689;55175;3143;Población;208300.0;A
2009;3689;55176;2352;Población;10700.0;A
2009;3689;55176;2402;Población;19525.0;A
2009;3689;55176;2482;Población;10775.0;A
2009;3689;55176;2713;Población;11575.0;A
2009;3689;55176;2797;Población;7775.0;A
2009;3689;55176;2911;Población;6125.0;A
2009;3689;55176;3023;Población;19675.0;A
2009;3689;55176;3142;Población;24725.0;A
2009;3689;55176;3143;Población;110875.0;A
2009;3689;55173;2352;Población;227875.0;A
2009;3689;55173;2402;Población;396500.0;A
2009;3689;55173;2482;Población;276500.0;A
2009;3689;55173;2713;Población;305525.0;A
2009;3689;55173;2797;Población;184200.0;A
2009;3689;55173;2911;Población;237825.0;A
2009;3689;55173;3023;Población;499475.0;A
2009;3689;55173;3142;Población;644375.0;A
2009;3689;55173;3143;Población;2772275.0;A
2009;3690;55174;2352;Población;22125.0;A
2009;3690;55174;2402;Población;30800.0;A
2009;3690;55174;2482;Población;15900.0;A
2009;3690;55174;2713;Población;21200.0;A
2009;3690;55174;2797;Población;16975.0;A
2009;3690;55174;2911;Población;13175.0;A
2009;3690;55174;3023;Población;43800.0;A
2009;3690;55174;3142;Población;46050.0;A
2009;3690;55174;3143;Población;210025.0;A
2009;3690;55175;2352;Población;18925.0;A
2009;3690;55175;2402;Población;49600.0;A
2009;3690;55175;2482;Población;42525.0;A
2009;3690;55175;2713;Población;36550.0;A
2009;3690;55175;2797;Población;23200.0;A
2009;3690;55175;2911;Población;33850.0;A
2009;3690;55175;3023;Población;40500.0;A
2009;3690;55175;3142;Población;84475.0;A
2009;3690;55175;3143;Población;329625.0;A
2009;3690;55176;2352;Población;6075.0;A
2009;3690;55176;2402;Población;8650.0;A
2009;3690;55176;2482;Población;5475.0;A
2009;3690;55176;2713;Población;6200.0;A
2009;3690;55176;2797;Población;4550.0;A
2009;3690;55176;2911;Población;2800.0;A
2009;3690;55176;3023;Población;11750.0;A
2009;3690;55176;3142;Población;13250.0;A
2009;3690;55176;3143;Población;58750.0;A
2009;3690;55173;2352;Población;183225.0;A
2009;3690;55173;2402;Población;310725.0;A
2009;3690;55173;2482;Población;236175.0;A
2009;3690;55173;2713;Población;263775.0;A
2009;3690;55173;2797;Población;174350.0;A
2009;3690;55173;2911;Población;189675.0;A
2009;3690;55173;3023;Población;419675.0;A
2009;3690;55173;3142;Población;553750.0;A
2009;3690;55173;3143;Población;2331350.0;A
2009;3691;55174;2352;Población;60025.0;A
2009;3691;55174;2402;Población;92850.0;A
2009;3691;55174;2482;Población;51250.0;A
2009;3691;55174;2713;Población;61850.0;A
2009;3691;55174;2797;Población;47750.0;A
2009;3691;55174;2911;Población;45500.0;A
2009;3691;55174;3023;Población;121250.0;A
2009;3691;55174;3142;Población;140575.0;A
2009;3691;55174;3143;Población;621050.0;A
2009;3691;55175;2352;Población;31575.0;A
2009;3691;55175;2402;Población;83175.0;A
2009;3691;55175;2482;Población;67975.0;A
2009;3691;55175;2713;Población;60200.0;A
2009;3691;55175;2797;Población;36450.0;A
2009;3691;55175;2911;Población;54950.0;A
2009;3691;55175;3023;Población;69900.0;A
2009;3691;55175;3142;Población;133700.0;A
2009;3691;55175;3143;Población;537925.0;A
2009;3691;55176;2352;Población;16775.0;A
2009;3691;55176;2402;Población;28175.0;A
2009;3691;55176;2482;Población;16250.0;A
2009;3691;55176;2713;Población;17775.0;A
2009;3691;55176;2797;Población;12325.0;A
2009;3691;55176;2911;Población;8925.0;A
2009;3691;55176;3023;Población;31425.0;A
2009;3691;55176;3142;Población;37975.0;A
2009;3691;55176;3143;Población;169625.0;A
2009;3691;55173;2352;Población;411100.0;A
2009;3691;55173;2402;Población;707225.0;A
2009;3691;55173;2482;Población;512675.0;A
2009;3691;55173;2713;Población;569300.0;A
2009;3691;55173;2797;Población;358550.0;A
2009;3691;55173;2911;Población;427500.0;A
2009;3691;55173;3023;Población;919150.0;A
2009;3691;55173;3142;Población;1198125.0;A
2009;3691;55173;3143;Población;5103625.0;A
2010;3689;55174;2352;Población;31950.0;A
2010;3689;55174;2402;Población;48950.0;A
2010;3689;55174;2482;Población;28900.0;A
2010;3689;55174;2713;Población;33875.0;A
2010;3689;55174;2797;Población;27000.0;A
2010;3689;55174;2911;Población;27975.0;A
2010;3689;55174;3023;Población;64375.0;A
2010;3689;55174;3142;Población;75500.0;A
2010;3689;55174;3143;Población;338525.0;A
2010;3689;55175;2352;Población;24575.0;A
2010;3689;55175;2402;Población;49975.0;A
2010;3689;55175;2482;Población;34400.0;A
2010;3689;55175;2713;Población;34975.0;A
2010;3689;55175;2797;Población;19700.0;A
2010;3689;55175;2911;Población;27100.0;A
2010;3689;55175;3023;Población;50625.0;A
2010;3689;55175;3142;Población;72700.0;A
2010;3689;55175;3143;Población;314050.0;A
2010;3689;55176;2352;Población;11725.0;A
2010;3689;55176;2402;Población;19425.0;A
2010;3689;55176;2482;Población;10900.0;A
2010;3689;55176;2713;Población;11900.0;A
2010;3689;55176;2797;Población;9450.0;A
2010;3689;55176;2911;Población;6825.0;A
2010;3689;55176;3023;Población;20875.0;A
2010;3689;55176;3142;Población;27400.0;A
2010;3689;55176;3143;Población;118500.0;A
2010;3689;55173;2352;Población;227925.0;A
2010;3689;55173;2402;Población;395675.0;A
2010;3689;55173;2482;Población;276250.0;A
2010;3689;55173;2713;Población;304775.0;A
2010;3689;55173;2797;Población;183725.0;A
2010;3689;55173;2911;Población;239050.0;A
2010;3689;55173;3023;Población;497100.0;A
2010;3689;55173;3142;Población;642650.0;A
2010;3689;55173;3143;Población;2767150.0;A
2010;3690;55174;2352;Población;20200.0;A
2010;3690;55174;2402;Población;27575.0;A
2010;3690;55174;2482;Población;14350.0;A
2010;3690;55174;2713;Población;18975.0;A
2010;3690;55174;2797;Población;17475.0;A
2010;3690;55174;2911;Población;12225.0;A
2010;3690;55174;3023;Población;38900.0;A
2010;3690;55174;3142;Población;41025.0;A
2010;3690;55174;3143;Población;190725.0;A
2010;3690;55175;2352;Población;25000.0;A
2010;3690;55175;2402;Población;60400.0;A
2010;3690;55175;2482;Población;47850.0;A
2010;3690;55175;2713;Población;42800.0;A
2010;3690;55175;2797;Población;28025.0;A
2010;3690;55175;2911;Población;37100.0;A
2010;3690;55175;3023;Población;54075.0;A
2010;3690;55175;3142;Población;99025.0;A
2010;3690;55175;3143;Población;394275.0;A
2010;3690;55176;2352;Población;7375.0;A
2010;3690;55176;2402;Población;8900.0;A
2010;3690;55176;2482;Población;5025.0;A
2010;3690;55176;2713;Población;7225.0;A
2010;3690;55176;2797;Población;7175.0;A
2010;3690;55176;2911;Población;3325.0;A
2010;3690;55176;3023;Población;13950.0;A
2010;3690;55176;3142;Población;13800.0;A
2010;3690;55176;3143;Población;66775.0;A
2010;3690;55173;2352;Población;184525.0;A
2010;3690;55173;2402;Población;315575.0;A
2010;3690;55173;2482;Población;238675.0;A
2010;3690;55173;2713;Población;265400.0;A
2010;3690;55173;2797;Población;173300.0;A
2010;3690;55173;2911;Población;192050.0;A
2010;3690;55173;3023;Población;431500.0;A
2010;3690;55173;3142;Población;559025.0;A
2010;3690;55173;3143;Población;2360050.0;A
2010;3691;55174;2352;Población;52150.0;A
2010;3691;55174;2402;Población;76525.0;A
2010;3691;55174;2482;Población;43250.0;A
2010;3691;55174;2713;Población;52850.0;A
2010;3691;55174;2797;Población;44475.0;A
2010;3691;55174;2911;Población;40200.0;A
2010;3691;55174;3023;Población;103275.0;A
2010;3691;55174;3142;Población;116525.0;A
2010;3691;55174;3143;Población;529250.0;A
2010;3691;55175;2352;Población;49575.0;A
2010;3691;55175;2402;Población;110375.0;A
2010;3691;55175;2482;Población;82250.0;A
2010;3691;55175;2713;Población;77775.0;A
2010;3691;55175;2797;Población;47725.0;A
2010;3691;55175;2911;Población;64200.0;A
2010;3691;55175;3023;Población;104700.0;A
2010;3691;55175;3142;Población;171725.0;A
2010;3691;55175;3143;Población;708325.0;A
2010;3691;55176;2352;Población;19100.0;A
2010;3691;55176;2402;Población;28325.0;A
2010;3691;55176;2482;Población;15925.0;A
2010;3691;55176;2713;Población;19125.0;A
2010;3691;55176;2797;Población;16625.0;A
2010;3691;55176;2911;Población;10150.0;A
2010;3691;55176;3023;Población;34825.0;A
2010;3691;55176;3142;Población;41200.0;A
2010;3691;55176;3143;Población;185275.0;A
2010;3691;55173;2352;Población;412450.0;A
2010;3691;55173;2402;Población;711250.0;A
2010;3691;55173;2482;Población;514925.0;A
2010;3691;55173;2713;Población;570175.0;A
2010;3691;55173;2797;Población;357025.0;A
2010;3691;55173;2911;Población;431100.0;A
2010;3691;55173;3023;Población;928600.0;A
